outletRiverId,groupId
120434016,107
120435385,105
120435664,107
120436939,104
120437059,105
120437198,105
120437214,105
120437277,107
120437321,105
120438797,105
120438846,105
120438936,106
120438982,106
120440375,105
120440402,107
120440467,105
120440474,105
120440496,105
120440500,105
120440590,106
120440638,107
120442054,105
120442148,106
120442287,107
120443703,105
120443737,106
120443929,106
120444071,107
120445440,106
120445451,105
120445636,107
120445653,106
120446857,104
120447064,105
120447199,105
120447206,105
120447279,107
120448675,105
120448842,105
120448864,105
120448891,105
120448935,106
120452124,107
120452173,105
120452195,105
120452227,105
120453918,107
120453970,106
120455346,105
120455512,105
120455531,105
120456968,104
120456984,104
120457053,105
120457131,106
120458571,104
120458713,105
120458787,105
120458938,107
120458967,107
120460303,105
120460417,105
120460468,105
120460504,105
120460666,107
120461801,105
120463691,105
120463778,106
120463793,105
120463797,106
120467065,106
120467088,105
120467131,105
120467204,106
120467215,106
120468572,104
120468633,105
120468725,105
120468739,105
120468840,106
120470200,105
120470377,105
120470500,106
120472068,105
120472117,105
120473578,104
120473723,105
120473867,107
120473903,107
120473940,107
120475509,106
120475608,107
120477041,105
120478604,105
120478732,105
120478835,105
120478932,107
120478955,107
120480487,105
120480584,106
120481927,105
120481977,105
120482204,106
120482264,107
120482314,107
120483472,105
120483562,104
120483679,105
120483701,105
120483725,105
120483842,107
120483920,107
120485313,106
120485363,105
120487123,105
120488826,106
120488917,107
120490397,106
120491903,105
120491915,105
120493607,105
120493650,105
120493912,107
120495093,104
120495434,105
120495448,105
120496985,106
120498070,105
120498445,104
120498586,105
120500275,105
120501881,104
120501896,105
120502101,106
120503279,104
120503472,105
120503600,105
120505026,104
120505391,106
120505396,106
120505438,107
120505490,107
120505555,107
120506981,105
120507131,106
120508233,104
120508642,105
120508681,106
120509983,105
120512027,107
120512044,105
120513570,105
120513615,105
120513638,106
120513693,106
120515217,105
120515376,106
120517005,105
120517016,105
120518580,105
120518637,105
120518766,106
120520047,104
120520094,105
120520213,105
120520259,107
120520386,105
120520392,105
120523191,105
120523440,104
120523453,104
120523665,106
120523704,105
120526929,106
120527039,105
120528260,105
120528707,106
120530406,106
120531962,105
120533369,104
120533467,104
120533498,105
120533672,105
120533679,106
120535027,105
120535279,106
120536942,105
120537020,105
120538440,104
120538590,106
120539780,105
120539819,105
120539928,105
120540034,104
120540136,106
120540176,105
120540209,106
120540287,106
120540306,105
120541653,105
120541885,105
120542003,105
120543010,105
120543274,105
120543392,104
120543422,105
120543532,105
120545279,105
120546907,105
120546914,106
120548351,104
120548625,106
120548756,107
120549773,105
120549849,104
120551796,104
120551810,105
120551858,106
120552001,106
120553397,104
120553504,105
120554924,104
120555093,105
120555299,105
120556768,105
120558129,105
120558521,104
120558591,107
120558605,105
120558647,105
120560230,107
120560338,105
120561727,105
120561779,105
120561881,107
120561924,106
120561981,105
120563209,104
120563517,105
120564986,104
120566586,105
120567035,107
120568065,104
120568169,105
120570111,105
120571291,105
120571415,104
120571763,104
120573436,104
120575255,105
120576786,104
120578517,105
120578592,106
120580077,104
120581650,105
120581731,105
120581842,107
120581966,105
120584948,104
120586560,105
120586598,105
120586622,105
120586715,105
120586717,105
120588027,104
120588239,105
120588248,105
120589729,104
120590185,106
120594998,105
120596846,106
120596924,106
120598525,105
120598583,106
120599857,105
120600130,106
120601717,105
120601811,106
120604684,105
120604777,104
120604820,105
120606558,105
120606625,104
120606907,106
120609629,104
120609706,105
120609757,105
120611557,105
120613038,105
120613356,105
120614687,105
120614776,104
120616433,104
120616693,105
120617969,105
120618033,104
120618093,105
120619642,105
120619857,105
120621523,104
120621806,106
120623183,104
120623443,106
120626204,105
120626250,104
120626428,105
120628005,105
120631454,105
120633149,105
120634664,104
120636359,105
120638209,105
120639543,105
120639639,105
120639813,104
120641494,105
120641567,105
120644963,105
120647922,105
120649676,105
120649905,104
120651318,104
120651414,105
120652944,105
120654707,105
120657948,104
120658072,104
120659774,105
120661435,105
